Region,District,HF,Expected reports,Actual reports,dropout rate,DPT3,PCV 3,wastage rate
North Central,Mubende District,303 Brigade Health Centre II,,,,,,
West Nile,Moyo District,309 Brigade Military Moyo Health Centre III,3,2,,,,
South Central,Kyotera District,3M Mummy's Dom Clinic,,,,,,
South Central,Wakiso District,3R Kisakye Medical Centre,3,2,,,,
Karamoja,Kotido District,405 Brigade Health Centre III,3,2,-28,120,120,9.1
Acholi,Pader District,5th Military Division Health Centre IV,3,2,13,33,24,22.6
South Central,Wakiso District,6K Health Centre II,3,2,57,3,3,0
Kampala,Kampala District,7 Hills Clinic,,,,,,
Ankole,Ibanda District,[DELETE] St. Luke Ninsiima Medicare Clinic,,,,,,
Kampala,Kampala District,A & K Clinic,3,0,,,,
Kampala,Kampala District,AAA Dental & Oral Surgery Clinic,,,,,,
Teso,Katakwi District,Aakum Health Centre II,3,2,-12,108,108,3.8
Kampala,Kampala District,AAR Buganda Road Branch,3,2,,,,
Kampala,Kampala District,AAR Bugolobi Health Care,3,2,,,,
Kampala,Kampala District,AAR City Centre,,,,,,
Kampala,Kampala District,AAR Clinic Acacia,3,2,,,,
South Central,Wakiso District,AAR Clinic Bweyogerere,3,2,,,,
South Central,Wakiso District,AAR Clinic Freedom,,,,,,
Acholi,Gulu City,AAR Gulu Clinic,3,2,-100,2,2,0
Kampala,Kampala District,AAR Kabalagala Clinic,3,2,-67,5,5,0
Kampala,Kampala District,AAR Nateete Health Centre,3,2,,,,
Kampala,Kampala District,AAR Ntinda Health Centre,3,2,0,3,4,0
Teso,Serere District,Aarapoo Health Centre III,3,2,18,277,275,-2.4
North Central,Mukono District,Abaase Dispensary Clinic,,,,,,
North Central,Mukono District,Abadde Katonda Maternity,3,3,,,,
South Central,Wakiso District,Abaita Medical Centre,,,,,,
Lango,Alebtong District,Abako Health Centre III,3,2,0,154,154,-37.4
Lango,Alebtong District,Abako-Elim Health Centre II,3,3,-7,150,150,1187.5
Lango,Lira District,Abala Health Centre III,3,2,0,157,157,245
Teso,Kalaki District,Abalang Health Centre II (Anyara Subcounty),3,2,5,37,37,
Lango,Dokolo District,Abalang Health Centre III (Okwalongwen Subcounty),3,2,16,82,82,0
Lango,Oyam District,Abanya Health Centre II,3,2,-13,52,52,-9.4
Teso,Amuria District,Abarilela Health Centre III,3,3,5,160,156,-90.3
Tooro,Kyenjojo District,Abbu Clinic,,,,,,
Kampala,Kampala District,ABC Clinic,3,2,,,,
North Central,Kayunga District,Abc Maternity Home Clinic,,,,,,
Tooro,Kitagwenda District,Abednego Medical Health Centre II,3,2,,,,
Lango,Kwania District,Abedober Health Centre III,3,3,11,118,118,6.8
Lango,Kwania District,Abei Health Centre II,3,3,0,72,72,-134
Teso,Amuria District,Abeko CBO Health Centre II,3,3,-21,35,35,
Teso,Amuria District,Abeko Health Centre II,3,3,2,119,119,-185.8
Lango,Oyam District,Abela Health Centre III,3,3,36,110,110,35.2
Lango,Oyam District,Aber Health Centre II,3,3,-11,51,51,43.9
Lango,Oyam District,Aber Hospital,3,3,10,318,318,72.1
Lango,Oyam District,Aber Prisons Clinic,,,,,,
Bunyoro,Kagadi District,Abesiga Mukama Domiciliary Maternity,3,2,,,,
West Nile,Moyo District,Abeso Health Centre II,3,2,44,10,10,35.9
Teso,Amuria District,Abia (Amuria) Health Centre II,3,3,-17,203,203,-7.2
Lango,Alebtong District,Abia Health Centre II (Abia Subcounty),3,3,7,206,206,26.1
South Central,Wakiso District,Abigail Medical Health Centre II,3,2,,,,
Kampala,Kampala District,Abii Clinic Health Centre,3,3,-69,27,27,0
Karamoja,Amudat District,Abiliyep Health Centre III,3,2,10,60,61,-1800
Acholi,Agago District,Abilonino Health Centre II,3,2,-25,25,25,
Karamoja,Abim District,Abim General Hospital,3,2,-10,117,117,
Karamoja,Abim District,Abim Obolokome Health Centre II,3,2,6,75,75,-34.6
Teso,Kaberamaido District,Abirabira Health Centre II,3,3,6,124,124,-3.7
West Nile,Yumbe District,Abiriamajo Health Centre II,3,2,5,82,82,28.2
West Nile,Arua City,Abiriambati General Clinic,,,,,,
South Central,Wakiso District,Abison Medical Clinic,3,1,,,,
Lango,Kole District,Aboke Health Centre IV,3,3,-15,241,241,9.6
Lango,Kole District,Aboke Mission Health Centre III,3,3,17,88,88,22.5
West Nile,Nebbi District,Abongo Health Centre II,3,2,28,44,44,-58.9
Lango,Kwania District,Abongomola Health Centre III,3,2,-1,87,87,-60
Kampala,Kampala District,Above All Medical Centre,3,2,,,,
Kampala,Kampala District,Abu Health Care Clinic,,,,,,
Kampala,Kampala District,Abu Kats Medical Centre,3,3,10,65,61,8.6
Kampala,Kampala District,Abuhealth Care Clinic,,,,,,
Lango,Lira District,Abunga Health Centre II,3,3,27,196,204,-1370.2
Bukedi,Tororo District,Abur Community Clinic,3,1,,,,
Acholi,Omoro District,Abwoch Health Centre III,3,2,-38,94,94,-96.3
Lango,Kwania District,Abwong Health Centre II,3,3,1,101,96,31.6
Lango,Otuke District,Acane Health Centre II,3,3,40,15,15,-200
Kampala,Kampala District,Access Clinic,,,,,,
North Central,Nakaseke District,Access Life Care Health Centre II,3,2,5,18,18,-32
Acholi,Omoro District,Acet Community Oriented Clinic,,,,,,
Acholi,Omoro District,Acet Health Centre III,3,2,21,55,55,11
Tooro,Kabarole District,ACF Uganda Kigarama Health Centre III,3,2,100,,,0
Karamoja,Moroto District,Acherer Health Centre II,3,3,35,36,36,9.8
Acholi,Pader District,Acholi-Bur Health Centre III,3,3,-18,91,71,-27
Acholi,Agago District,Acholpii Health Centre III,3,2,18,70,70,-236.9
Karamoja,Amudat District,Achorichor Health Centre II,3,2,3,58,58,66.2
Lango,Amolatar District,Acii Health Centre II,3,2,2,80,80,-25
Lango,Oyam District,Acimi Health Centre III,3,3,10,317,317,72.9
Lango,Oyam District,Acokara Health Centre II,3,3,35,40,40,
Teso,Kapelebyong District,Acowa Health Centre III,3,3,18,187,197,-364.6
South Central,Kyotera District,Act Medical Centre,3,2,24,16,16,
South Central,Wakiso District,Act Now Clinic,3,2,,,,
South Central,Wakiso District,Active Life Medical Health Centre III,3,2,25,60,60,
Ankole,Mbarara City,Acumpa Medical Centre,3,3,,,,
Acholi,Agago District,Acuru Health Centre II,3,3,-17,83,82,3.8
Lango,Oyam District,Acut Health Centre II,3,3,1,73,72,70.5
Kampala,Kampala District,Acute Dental Clinic,3,2,,,,
North Central,Kayunga District,Acute Health Care Health Centre II,,,,,,
Lango,Kwania District,Acwao Health Centre II,3,2,-4,98,98,17.7
Lango,Dokolo District,Adagmon Health Centre III,3,2,10,112,112,13.9
Teso,Amuria District,Adakun Health Centre II,3,3,2,51,52,-2.7
Kampala,Kampala District,Adcare Medical Centre,3,3,,,,
Kampala,Kampala District,Addy Domiciliary Clinic,3,0,,,,
Kampala,Kampala District,Addy Memorial Hospital,3,2,-189,52,52,-27.8
Karamoja,Abim District,Adea Health Centre II,3,2,-10,139,139,-145
Lango,Oyam District,Adigo Health Centre II,3,2,42,64,64,10.2
Acholi,Agago District,Adilang Health Centre III,3,2,-2,91,86,-308.3
West Nile,Adjumani District,Adjumani General Hospital,3,3,19,273,273,9050
West Nile,Adjumani District,Adjumani Mission Health Centre III,3,3,27,107,107,-136.7
West Nile,Adjumani District,Adjumani Police Health Centre II,3,2,,,,
West Nile,Adjumani District,Adjumani Prisons Health Centre II,3,3,,,,
Lango,Dokolo District,Adok Health Centre III,3,3,25,119,119,6.7
Lango,Dokolo District,Adok Maternity Home,,,,,,
Lango,Kwania District,Aduku Health Centre IV,3,3,11,75,75,3.4
Lango,Kwania District,Aduku Mission Health Centre II,3,2,-4,77,77,35.4
Lango,Lira City,Aduku Road Maternity Home Health Centre III,,,,,,
West Nile,Arua City,Adumi Health Centre IV,3,3,18,331,331,-39.5
Kampala,Kampala District,Adventist Medical Centre,3,1,29,17,17,3
Lango,Alebtong District,Adwir Health Centre II,3,1,14,94,94,15.9
Lango,Dokolo District,Adwoki Maternity Home,,,,,,
Lango,Oyam District,Adyeda Baracks Health Centre II,3,1,,,,
Lango,Oyam District,Adyegi Health Centre II,3,2,11,40,40,-22.7
Lango,Lira City,Adyel Health Centre III,3,3,8,93,89,-179
Teso,Kapelebyong District,Aeket Health Centre II,3,2,-15,77,77,5.2
Lango,Oyam District,Aero Medical Centre,3,1,-45,48,48,
Kampala,Kampala District,Aestram Medical Centre,,,,,,
North Central,Mukono District,Afaayo Child Health Care,3,2,,,,
Kampala,Kampala District,Afaayo Medical Centre,,,,,,
Kampala,Kampala District,Afayo Clinic,,,,,,
Bukedi,Tororo District,Afia Bora Medical Centre,3,1,,,,
West Nile,Moyo District,Afoji Health Centre II,3,3,-100,4,4,0
Kampala,Kampala District,Afram Dental Surgery Health Centre II,,,,,,
South Central,Masaka City,Africa with Love Clinic,,,,,,
Kampala,Kampala District,African Centre for Treatment and Rehabilitation of Torture Victims,,,,,,
Bukedi,Tororo District,Africure Medical Centre,3,1,,,,
Kigezi,Kisoro District,Afya Clinic,3,1,,,,
Tooro,Kasese District,Afya Kamili Health Centre III,3,3,,,,
Kampala,Kampala District,Aga Khan Acacia Clinic,3,3,,,,
Kampala,Kampala District,Aga Khan Bugolobi Clinic,,,,,,
Kampala,Kampala District,Aga Khan DTB Clinic,3,2,,,,
South Central,Wakiso District,Agali Awamu Medical Health Centre III,,,,,,
Lango,Lira District,Agali Health Centre III,3,2,17,76,76,-69.4
Kampala,Kampala District,Agali Top Quality Clinic,3,2,,,,
Kampala,Kampala District,Agaliawamu Clinic,3,1,,,,
Lango,Apac District,Aganga Health Centre II,3,2,-14,65,65,-13.1
Lango,Kole District,Agape Drugshop,,,,,,
Kampala,Kampala District,Agape Medical Centre,3,0,,,,
South Central,Wakiso District,Agape Medical Health Centre III,,,,,,
North Central,Kiboga District,Agape Nursing Home,3,3,50,9,9,-53.8
Teso,Kumi District,Agaria Health Centre II,3,2,0,107,107,38.6
Lango,Oyam District,Ageno Drugshop,,,,,,
South Central,Wakiso District,Ages Health Care Health Centre II,3,2,-4,27,27,28.4
Tooro,Fort Portal City,Ageteraine Nursing Home Health Centre II,3,0,,,,
Kampala,Kampala District,Aggie Pharmacy & Clinic,3,0,,,,
West Nile,Zombo District,Agiermach Health Centre III,3,3,26,58,59,8.7
Teso,Soroti District,Agirigiroi Health Centre II,3,2,-10,98,98,3.2
West Nile,Adjumani District,Agojo Health Centre II,3,2,21,22,22,-20.6
Teso,Kapelebyong District,Agonga Health Centre II,3,1,-31,46,46,28.9
Acholi,Gulu City,Agonga Karine Community Health Centre II,3,2,-31,119,119,-7.5
Acholi,Lamwo District,Agoro Health Centre III,3,2,2,40,52,
Teso,Ngora District,Agu Health Centre III,3,2,-5,109,109,-43.8
Bukedi,Pallisa District,Agule Community Health Centre III,3,3,6,31,31,
Bukedi,Pallisa District,Agule Health Centre III,3,3,-1,258,258,42
Bukedi,Pallisa District,Agule Prisons Health Centre II,3,3,,,,
Lango,Oyam District,Agulurude Health Centre III,3,3,-5,185,193,7.5
Teso,Kumi District,Agurut Health Centre II,3,2,1,71,71,7.5
Lango,Dokolo District,Agwatta Health Centre III,3,2,14,86,86,19.9
South Central,Wakiso District,Ahamadine Day Care Clinic,,,,,,
Bugisu,Mbale City,Ahamadiya Hospital,3,3,-25,75,75,23.2
South Central,Kalungu District,AHF Uganda Care,3,2,,,,
Kampala,Kampala District,Ahumuza Medical Clinic,3,2,,,,
Tooro,Kamwenge District,Ahumuza Winnie Consultants Clinic,,,,,,
Kampala,Kampala District,Aia Health Centre II,3,1,,,,
Teso,Kumi District,Aica Medical Centre,,,,,,
West Nile,Arua City,AIDS Information Centre (Arua),3,3,,,,
Busoga,Jinja City,AIDS Information Centre (Jinja),3,2,,,,
Kigezi,Kabale District,AIDS Information Centre (Kabale),3,3,,,,
Kampala,Kampala District,AIDS Information Centre (Kampala),3,3,,,,
Lango,Lira City,AIDS Information Centre (Lira),3,2,,,,
Bugisu,Mbale City,AIDS Information Centre (Mbale),3,3,,0,0,
Ankole,Mbarara City,AIDS Information Centre (Mbarara),3,3,,0,0,
Teso,Soroti City,AIDS Information Centre (Soroti),3,2,,,,
West Nile,Moyo District,Aim Medical Centre,3,1,,,,
Teso,Kapelebyong District,Airabet Health Centre II,3,2,40,42,42,11
Kampala,Kampala District,Aisha Domiciliary Clinic,3,2,-73,57,57,
Lango,Oyam District,Ajaga Health Centre III,3,2,58,32,32,5
Kampala,Kampala District,Ajax Dental Clinic,,,,,,
Teso,Kapelebyong District,Ajeleik Health Centre II,3,3,3,111,109,13.1
Teso,Ngora District,Ajeluk Health Centre III,3,2,-4,110,110,
West Nile,Adjumani District,Ajeri Health Centre II,3,2,-5,23,23,34
West Nile,Arua District,Ajia Health Centre III,3,2,-3,68,68,-242.4
West Nile,Maracha District,Ajikoro Health Centre III,3,2,34,56,54,10.3
West Nile,Adjumani District,Ajugopi Health Centre II,3,3,23,30,30,43.9
Kampala,Kampala District,Aka Medical Care Centre,,,,,,
Lango,Kwania District,Akali Health Centre III,3,3,12,206,206,8.8
Lango,Kole District,Akalo Health Centre III,3,2,0,245,245,31.3
Busoga,Jinja District,Akambye Health,,,,,,
Lango,Lira District,Akangi Health Centre II,3,2,3,195,195,6
Kampala,Kampala District,Akankwasa Dental Clinic,3,1,,,,
Teso,Amuria District,Akeriau Health Centre III,3,3,35,149,149,10.6
Teso,Katakwi District,Aketa Health Centre III,3,3,9,142,142,-11.3
